artifact_role,model,horizon,relative_path,sha256,exists,consumed_for_stage2,source_category,notes
model_runner,ALL,ALL,revision_2026/04_controlled_reruns/elasticnet/run_corrected_elasticnet.py,7e797abbc6d774e061e09051f8cca028a9bcdcff040788143605081fc0a7eb13,True,True,controlled_rerun_runner,Final corrected runner inspected for lineage usage.
model_runner,ALL,ALL,revision_2026/04_controlled_reruns/hgbr/run_corrected_hgbr.py,34c44587bca2d211a761308ea57e248e4d3fc1f1a3695f164314c7a4167c3769,True,True,controlled_rerun_runner,Final corrected runner inspected for lineage usage.
model_runner,ALL,ALL,revision_2026/04_controlled_reruns/ridge/run_corrected_ridge.py,f98631b98258336c27c642e798614f3365b511d403500f929ad1016b059ece0c,True,True,controlled_rerun_runner,Final corrected runner inspected for lineage usage.
protocol_input,ALL,ALL,revision_2026/03_corrected_protocol/canonical_dataset_lock.json,1554a9381e264f3c84853cc13b23c87883db8383b2fd778774bccb2d43bd535c,True,True,protocol,Preflight checksum or split input consumed.
protocol_input,ALL,ALL,revision_2026/03_corrected_protocol/corrected_protocol_v1.sha256,b878b7107622da5fb8fd21b44ac00e11a6c754f3cfd5f68915bbb1c493c81284,True,True,protocol,Preflight checksum or split input consumed.
protocol_input,ALL,ALL,revision_2026/03_corrected_protocol/corrected_split_assignment.csv,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,True,True,protocol,Preflight checksum or split input consumed.
protocol_input,ALL,ALL,revision_2026/03_corrected_protocol/corrected_split_summary.csv,17e32e4b962755295a6b2f5eee0e5b6f1e11baab6145240e65980490add6658b,True,True,protocol,Preflight checksum or split input consumed.
protocol_input,ALL,ALL,revision_2026/09_h1_h3_reconciliation/canonical_h1_h3_reconciliation_checksums.sha256,17c8b7785c5e8f4838ed814379f0f1a9aa8b02ee28a1a86cdc732661433d758b,True,True,protocol,Preflight checksum or split input consumed.
selection_plan,ALL,ALL,revision_2026/04_controlled_reruns/bcr_tcn_v11_h5/bcr_tcn_v11_fixed_configuration.json,22e0684eca4b2b8dd5118bf91d17f56418a8d2a881be89ae24e67ae53cfde87e,True,True,plan,Frozen selection/fixed-configuration artifact consumed.
selection_plan,ALL,ALL,revision_2026/04_controlled_reruns/elasticnet/elasticnet_selection_plan.json,24877563d3fcd763ef85808e00c0f12c570ebdc7d227028a890597919820071f,True,True,plan,Frozen selection/fixed-configuration artifact consumed.
selection_plan,ALL,ALL,revision_2026/04_controlled_reruns/hgbr/hgbr_selection_plan.json,630e8d99e0157b1573f36781e4c17b236c31cafb81b7f00365040f559cbf6e10,True,True,plan,Frozen selection/fixed-configuration artifact consumed.
selection_plan,ALL,ALL,revision_2026/04_controlled_reruns/ridge/ridge_selection_plan.json,8e197db0f0eaf20b93e8f93ae755efb4be2b250634c2380aafca1085730eaf44,True,True,plan,Frozen selection/fixed-configuration artifact consumed.
