candidate_file,sha256,row_count,candidate_type,matches_submitted_counts,matches_si_s6_totals,n_h1,n_h3,n_h5,e15_h1,e16_h1,e17_h1,e15_h3,e16_h3,e17_h3,e15_h5,e16_h5,e17_h5,notes,record_type,horizon,date,fold,y_true,event_tau15,event_tau16,event_tau17,present_in_759,present_in_747,likely_reason
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-09-30,1.0,15.49,1.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-01,1.0,16.42,1.0,1.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-02,1.0,15.95,1.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-03,1.0,15.19,1.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-04,1.0,13.78,0.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-05,1.0,13.13,0.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-06,1.0,14.65,0.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-07,1.0,12.77,0.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-08,1.0,14.23,0.0,0.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
,,,,,,,,,,,,,,,,,,,date_delta,5.0,2021-10-09,1.0,16.94,1.0,1.0,0.0,YES,NO,non-v2 feature builder includes 12 earlier test dates before v2 canonical test window
